City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,Sandakan,5.8402,118.1179,80.28,88,40,5.01,MY,2021-12-12 04:45:02
230,Tahta,26.7693,31.5021,55.72,28,100,5.06,EG,2021-12-12 04:45:03
231,Tiarei,-17.5333,-149.3333,82.42,71,29,7.29,PF,2021-12-12 04:45:03
232,Ambon,-3.6954,128.1814,91.54,58,40,8.05,ID,2021-12-12 04:45:04
233,Cabedelo,-6.9811,-34.8339,79.47,75,6,9.82,BR,2021-12-12 04:45:04
234,Snasa,64.2457,12.3778,21.42,92,80,6.22,NO,2021-12-12 04:45:04
235,Fort Nelson,58.8053,-122.7002,-0.81,85,75,6.91,CA,2021-12-12 04:45:05
236,Craig,40.5153,-107.5464,20.16,67,75,0.0,US,2021-12-12 04:44:06
237,Castro,-24.7911,-50.0119,67.42,54,100,2.66,BR,2021-12-12 04:45:05
238,Sapulpa,35.9987,-96.1142,39.76,67,1,0.0,US,2021-12-12 04:45:06
239,Grindavik,63.8424,-22.4338,41.47,93,75,20.71,IS,2021-12-12 04:45:06
240,Teguise,29.0605,-13.564,57.42,82,40,9.22,ES,2021-12-12 04:45:07
241,Georgetown,5.4112,100.3354,89.55,55,20,11.99,MY,2021-12-12 04:45:07
242,Tateyama,34.9833,139.8667,66.15,61,7,25.97,JP,2021-12-12 04:45:07
243,Turiacu,-1.6633,-45.3717,75.96,86,59,5.46,BR,2021-12-12 04:45:07
244,Kondinskoye,59.6481,67.41,8.73,90,62,8.52,RU,2021-12-12 04:45:08
245,Forio,40.7342,13.8646,51.82,58,93,21.7,IT,2021-12-12 04:45:08
246,Basco,20.4487,121.9702,76.8,62,85,20.96,PH,2021-12-12 04:45:08
247,Roebourne,-20.7833,117.1333,101.62,26,41,10.31,AU,2021-12-12 04:45:09
248,Dawson Creek,55.7666,-120.2362,21.16,73,1,5.75,CA,2021-12-12 04:40:20
249,Pochutla,15.7432,-96.4661,77.85,85,33,3.74,MX,2021-12-12 04:45:09
250,Kouroussa,10.65,-9.8833,68.67,22,85,1.7,GN,2021-12-12 04:45:10
251,Maumere,-8.6199,122.2111,84.94,74,85,3.71,ID,2021-12-12 04:45:10
252,Fortuna,40.5982,-124.1573,48.65,72,75,7.0,US,2021-12-12 04:45:10
253,Aransas Pass,27.9095,-97.15,57.2,55,1,7.0,US,2021-12-12 04:45:11
254,Boende,-0.2167,20.8667,72.05,98,100,3.8,CD,2021-12-12 04:45:11
255,Bubaque,11.2833,-15.8333,80.89,75,97,6.62,GW,2021-12-12 04:45:11
256,Samarai,-10.6167,150.6667,85.86,72,60,22.39,PG,2021-12-12 04:45:12
257,Pacific Grove,36.6177,-121.9166,48.42,86,1,1.99,US,2021-12-12 04:45:12
258,Santa Rosa,14.3122,121.1114,86.11,68,69,15.17,PH,2021-12-12 04:45:13
259,Pangoa,-12.1167,-73.0,69.89,99,99,1.21,PE,2021-12-12 04:45:13
260,Narsaq,60.9167,-46.05,19.62,87,45,5.77,GL,2021-12-12 04:45:13
261,Ryotsu,38.0833,138.4333,53.56,83,100,17.49,JP,2021-12-12 04:45:14
262,Alangayam,12.6,78.75,75.47,76,79,8.68,IN,2021-12-12 04:45:14
263,Naco,31.3347,-109.9483,48.78,74,0,3.74,MX,2021-12-12 04:45:14
264,Quelimane,-17.8786,36.8883,80.55,74,0,7.0,MZ,2021-12-12 04:45:15
265,Samana,19.2056,-69.3369,74.57,86,15,8.86,DO,2021-12-12 04:45:15
266,Chornobay,49.6708,32.3239,38.01,93,84,11.81,UA,2021-12-12 04:45:15
267,Padang,-0.9492,100.3543,86.05,79,100,3.96,ID,2021-12-12 04:45:16
268,Searcy,35.2506,-91.7363,35.98,54,0,2.8,US,2021-12-12 04:45:16
269,Ampanihy,-24.7,44.75,88.39,38,3,9.57,MG,2021-12-12 04:45:16
270,Saint-Pierre,-21.3393,55.4781,82.08,66,0,5.75,RE,2021-12-12 04:45:17
271,Lugovoy,42.9472,72.7644,42.98,39,96,3.13,KZ,2021-12-12 04:46:17
272,Leningradskiy,69.3833,178.4167,-31.68,94,33,5.57,RU,2021-12-12 04:46:18
273,Roma,43.2128,-75.4557,42.66,65,100,1.99,US,2021-12-12 04:43:08
274,Longyearbyen,78.2186,15.6401,33.64,69,75,21.85,SJ,2021-12-12 04:46:18
275,Sheksna,59.21,38.5107,3.16,89,73,6.89,RU,2021-12-12 04:46:18
276,Yelatma,54.9675,41.7508,15.21,82,28,6.89,RU,2021-12-12 04:46:19
277,Castelnaudary,43.3183,1.9545,46.53,92,90,5.53,FR,2021-12-12 04:46:19
278,Vila Velha,-20.3297,-40.2925,76.95,89,75,8.99,BR,2021-12-12 04:46:20
279,Clyde River,70.4692,-68.5914,-1.97,78,26,8.05,CA,2021-12-12 04:46:20
